state,county,zip
Texas,Harris,77379
California,San Diego,92592
California,Riverside,92592
Hawaii,Honolulu,96706
Texas,Collin,75035
Florida,Orange,34760
Florida,Orange,34787
Florida,Lake,34787
Texas,Travis,78641
Texas,Williamson,78641
California,Los Angeles,91744
New York,Queens,11355
Oklahoma,Canadian,73099
New York,Bronx,10453
Georgia,Clayton,30349
Georgia,Fulton,30272
Georgia,Fulton,30349
California,Riverside,92509
California,San Bernardino,92509
Illinois,Cook,60625
New York,Bronx,10452
California,Santa Clara,95035
California,Solano,94533
California,Orange,92704
California,Fresno,93727
California,Fresno,93737
California,Los Angeles,93535
New York,Kings,11203
New York,Kings,11241
New York,Kings,11242
North Carolina,Johnston,27610
North Carolina,Wake,27610
New York,Bronx,10457
Texas,Hidalgo,78577
California,Los Angeles,90706
California,Tulare,93257
New York,Bronx,10462
Texas,El Paso,79912
California,Tulare,93274
California,Kings,93274
North Carolina,Cabarrus,28269
North Carolina,Mecklenburg,28269
California,San Bernardino,91709
California,Los Angeles,91709
New York,Kings,11212
Arizona,Pinal,85142
Arizona,Maricopa,85142
Arizona,Pinal,85147
California,Los Angeles,91335
California,San Diego,92145
California,San Diego,92126
North Carolina,Wake,27587
North Carolina,Granville,27587
North Carolina,Franklin,27587
Texas,Fort Bend,77481
Texas,Fort Bend,77459
California,Alameda,94544
Texas,Harris,77083
Texas,Fort Bend,77083
New York,New York,10029
Illinois,Cook,60634
Illinois,Cook,60623
Virginia,Virginia Beach,23464
Texas,Johnson,76063
Texas,Tarrant,76063
Texas,Ellis,76063
New York,New York,10175
New York,New York,10122
New York,New York,10123
New York,New York,10151
New York,New York,10158
New York,New York,10176
New York,New York,10002
New York,New York,10166
New York,New York,10080
New York,New York,10281
New York,New York,10106
New York,New York,10178
New York,New York,10107
California,Riverside,92563
North Carolina,Cabarrus,28027
North Carolina,Mecklenburg,28027
Texas,Hidalgo,78572
Texas,El Paso,79928
New York,Kings,11218
California,San Diego,91910
New York,Queens,11375
Kansas,Johnson,66062
New York,Westchester,10466
New York,Bronx,10466
Washington,King,98052
Colorado,Arapahoe,80013
New Mexico,Bernalillo,87121
New Mexico,Bernalillo,87151
New York,Bronx,10469
Texas,Dallas,75211
California,Los Angeles,90003
Georgia,Cherokee,30040
Georgia,Fulton,30040
Georgia,Forsyth,30040
Tennessee,Davidson,37211
Washington,Snohomish,98012
Missouri,St. Charles,63376
California,Riverside,92880
California,San Bernardino,92880
Florida,Palm Beach,33411
Texas,Tarrant,76244
California,Kern,93220
California,Kern,93306
Texas,Bexar,78254
Florida,St. Lucie,34953
Texas,Johnson,76028
Texas,Tarrant,76028
Utah,Utah,84043
Florida,Broward,33024
Pennsylvania,Philadelphia,19120
California,Sacramento,95671
California,Sacramento,95630
California,El Dorado,95630
California,Orange,92805
California,Los Angeles,91706
California,Riverside,92553
New York,Kings,11215
California,Los Angeles,93536
California,Kern,93536
Florida,Broward,33311
Nevada,Clark,89108
Georgia,Cobb,30127
Georgia,Douglas,30127
Georgia,Paulding,30127
Arizona,Maricopa,85225
Georgia,Walton,30052
Georgia,Gwinnett,30052
Georgia,Rockdale,30052
Georgia,Newton,30052
New York,Bronx,10463
New York,New York,10463
Colorado,Douglas,80134
Colorado,Arapahoe,80134
California,San Diego,92105
Texas,Fort Bend,77407
Indiana,Warren,47906
Indiana,White,47906
Indiana,Tippecanoe,47906
Illinois,Lake,60085
California,Ventura,93064
California,Ventura,93065
Oregon,Multnomah,97229
Oregon,Washington,97229
Ohio,Butler,45011
Ohio,Butler,45055
Hawaii,Honolulu,96797
Hawaii,Honolulu,96759
New York,Kings,11209
Texas,Brazos,77866
Texas,Brazos,77845
California,Alameda,94536
Virginia,Prince William,22191
Georgia,Forsyth,30041
California,Los Angeles,90255
Nevada,Clark,89031
Arizona,Yuma,85364
California,Placer,95747
Texas,Fort Bend,77450
Texas,Harris,77450
Illinois,Cook,60614
Illinois,Cook,60657
Colorado,Arapahoe,80015
Florida,Hillsborough,33647
Florida,Pasco,33647
Florida,Broward,33025
California,Contra Costa,94509
Arizona,Maricopa,85343
Arizona,Maricopa,85326
Idaho,Ada,83646
Pennsylvania,Philadelphia,19124
Florida,Broward,33023
Texas,Dallas,75228
California,Los Angeles,91766
California,San Bernardino,91766
North Carolina,Mecklenburg,28277
Texas,Harris,77095
California,Santa Clara,95123
Texas,Collin,75002
Georgia,Rockdale,30281
Georgia,Henry,30281
Georgia,Clayton,30281
California,San Diego,92021
Illinois,Cook,60641
Maryland,Montgomery,20906
California,San Francisco,94110
California,Alameda,94587
Tennessee,Davidson,37075
Tennessee,Wilson,37075
Tennessee,Sumner,37075
New York,Queens,11691
New York,Rockland,10977
Florida,Miami-Dade,33012
Texas,Tarrant,76179
California,Riverside,92882
Indiana,Lake,46307
Indiana,Porter,46307
Florida,Orange,32828
California,Solano,95687
California,Solano,95625
California,Alameda,94568
California,San Bernardino,91730
New Mexico,Bernalillo,87114
California,Orange,90631
California,Los Angeles,90631
New York,Kings,11213
Illinois,Cook,60620
Arizona,Maricopa,85032
California,Alameda,94541
Tennessee,Rutherford,37128
Florida,Miami-Dade,33157
Florida,Miami-Dade,33015
California,Los Angeles,90037
Utah,Davis,84015
Texas,Harris,77036
New York,Kings,11201
Georgia,Fulton,30096
Georgia,Gwinnett,30096
California,San Bernardino,92322
California,San Bernardino,92407
Florida,Duval,32218
Pennsylvania,Philadelphia,19111
California,Sacramento,95624
Texas,Webb,78046
District of Columbia,District of Columbia,20002
California,Los Angeles,91402
New York,Tompkins,14850
Illinois,Cook,60640
New York,Suffolk,11746
California,Santa Clara,95020
Georgia,Gwinnett,30047
Texas,Denton,75067
Texas,Dallas,75067
California,San Diego,92114
Arizona,Maricopa,85301
Texas,Webb,78019
Texas,La Salle,78019
Texas,Webb,78045
Florida,Miami-Dade,33186
Arizona,Maricopa,85204
Pennsylvania,Lancaster,17504
Pennsylvania,Lancaster,17603
Texas,Harris,77346
California,Kings,93230
California,Tulare,93230
Colorado,Denver,80219
District of Columbia,District of Columbia,20011
Nevada,Clark,89110
Florida,Miami-Dade,33033
Florida,Miami-Dade,33039
New York,Queens,11372
Florida,Orange,32822
North Carolina,Mecklenburg,28078
North Carolina,Cabarrus,28078
California,Los Angeles,90262
Michigan,Washtenaw,48197
Virginia,Virginia Beach,23462
Virginia,Norfolk,23462
Arizona,Maricopa,85281
Florida,Duval,32210
New York,Bronx,10472
Arizona,Maricopa,85383
New York,Suffolk,11706
California,San Mateo,94080
California,Orange,92630
Georgia,Fulton,30135
Georgia,Douglas,30135
California,Alameda,94538
Nevada,Clark,89121
New York,Queens,11434
Ohio,Franklin,43126
Ohio,Franklin,43123
California,Solano,94558
California,Sonoma,94558
California,Napa,94558
California,Yolo,94558
California,Lake,94558
Georgia,Forsyth,30004
Georgia,Fulton,30004
Georgia,Cherokee,30004
Kansas,Johnson,66061
Washington,Clark,98682
California,Monterey,93906
Florida,Lake,34711
New Mexico,Bernalillo,87120
California,Contra Costa,94513
Maryland,Baltimore,21234
New York,Westchester,10701
Maryland,Montgomery,20878
New York,Suffolk,11717
California,San Joaquin,95206
Virginia,Loudoun,20146
Virginia,Loudoun,20147
New York,Kings,11211
California,Los Angeles,90026
New York,New York,10023
Texas,Denton,75036
Texas,Denton,75033
Texas,Denton,75068
Texas,Collin,75033
New York,Kings,11210
New York,New York,10027
New York,New York,10115
South Carolina,Greenville,29681
South Carolina,Laurens,29681
Florida,Palm Beach,33463
California,San Diego,91977
Nevada,Clark,89115
Nevada,Clark,89191
Utah,Salt Lake,84096
California,Orange,92801
Virginia,Chesapeake,23322
Georgia,Fulton,30022
California,Sacramento,95758
Illinois,Cook,60402
South Carolina,Lexington,29072
Texas,Dallas,75243
California,Los Angeles,90022
California,Contra Costa,94806
New York,Queens,11439
New York,Queens,11432
Texas,Dallas,75043
Georgia,Fulton,30188
Georgia,Cobb,30188
Georgia,Cherokee,30188
Texas,Dallas,75150
California,San Mateo,94015
Tennessee,Maury,38401
Tennessee,Williamson,38401
Tennessee,Marshall,38401
Illinois,Cook,60651
California,Orange,92677
Ohio,Lorain,44256
Ohio,Medina,44256
Texas,Dallas,75040
California,Los Angeles,91343
Utah,Weber,84404
Illinois,Cook,60628
Texas,Montgomery,77386
California,Orange,92703
Ohio,Franklin,43081
Ohio,Delaware,43081
Florida,Miami-Dade,33178
Texas,Collin,75098
Texas,Dallas,75098
Texas,Rockwall,75098
Texas,Denton,75056
California,San Bernardino,92325
California,San Bernardino,92321
California,San Bernardino,92352
California,San Bernardino,92404
California,San Bernardino,92391
California,San Bernardino,92317
California,San Bernardino,92385
California,San Bernardino,92378
District of Columbia,District of Columbia,20019
Florida,Orange,32808
California,San Diego,92562
California,Riverside,92562
California,Monterey,93905
New York,Richmond,10312
New York,New York,10024
Texas,Caldwell,78640
Texas,Hays,78640
Texas,Travis,78640
Pennsylvania,Philadelphia,19143
Pennsylvania,Delaware,19143
Kentucky,Madison,40475
Texas,Collin,75071
Arizona,Maricopa,85308
California,Sacramento,95608
Florida,Broward,33313
Florida,Duval,32244
Texas,Hidalgo,78574
California,Alameda,94501
Texas,Harris,77072
North Carolina,Cabarrus,28215
North Carolina,Mecklenburg,28215
Illinois,Cook,60619
Kentucky,Warren,42101
Kentucky,Edmonson,42101
Kentucky,Butler,42101
Georgia,Cobb,30062
Georgia,Fulton,30062
Maryland,Washington,21740
Maryland,Washington,21721
Maryland,Washington,21734
Georgia,Fulton,30331
Georgia,Cobb,30331
Georgia,Douglas,30331
California,Riverside,92201
Oklahoma,Tulsa,74012
Texas,Chambers,77521
Texas,Harris,77521
Texas,Harris,77373
Ohio,Franklin,43026
Ohio,Franklin,43002
Ohio,Madison,43026
Texas,Harris,77077
California,Santa Clara,95127
Michigan,Wayne,48180
Florida,Broward,33027
Colorado,Douglas,80016
Colorado,Arapahoe,80016
Texas,Harris,77375
California,Los Angeles,90640
North Carolina,Guilford,27406
California,Kern,93309
Illinois,Lake,60073
Georgia,DeKalb,30058
Georgia,Rockdale,30058
Tennessee,Wilson,37122
Tennessee,Rutherford,37122
Tennessee,Sumner,37122
Tennessee,Davidson,37122
Florida,Orange,32818
Florida,Seminole,32765
California,Los Angeles,90731
North Carolina,Wake,27519
North Carolina,Chatham,27519
California,Orange,92627
California,Los Angeles,90660
Arizona,Maricopa,85041
Florida,Duval,32259
Florida,St. Johns,32259
Georgia,Bartow,30101
Georgia,Cobb,30101
Georgia,Cherokee,30101
Georgia,Paulding,30101
Texas,Travis,78745
Maryland,Montgomery,20874
New York,Kings,11216
Ohio,Licking,43055
California,Santa Clara,95014
Illinois,Cook,60016
Texas,Bexar,78251
Ohio,Lorain,44035
Illinois,Cook,60609
New York,New York,10031
California,Sacramento,95828
Texas,Harris,77396
Georgia,Richmond,30812
Georgia,Richmond,30906
Illinois,Kane,60505
California,San Bernardino,91762
California,Los Angeles,91702
Ohio,Hocking,43130
Ohio,Fairfield,43130
Georgia,DeKalb,30083
Georgia,DeKalb,30072
Oklahoma,Cleveland,73160
New York,Orange,10950
California,San Diego,92115
California,San Diego,92182
California,Tulare,93291
Nevada,Clark,89148
California,Kern,93313
Maryland,Anne Arundel,21122
Virginia,Spotsylvania,22407
Virginia,Culpeper,22407
Virginia,Fredericksburg,22407
Georgia,Muscogee,31907
California,Los Angeles,90019
California,San Bernardino,92392
Tennessee,Williamson,37064
Tennessee,Davidson,37064
Virginia,Fairfax,22035
Virginia,Fairfax,22030
Texas,Hidalgo,78501
Florida,Orange,32825
New York,Queens,11435
Nevada,Clark,89123
Texas,Hidalgo,78504
New York,New York,10033
California,Santa Clara,95111
New York,Nassau,11550
Pennsylvania,Montgomery,19446
Pennsylvania,Montgomery,19490
Tennessee,Williamson,37027
Tennessee,Davidson,37027
Delaware,New Castle,19706
Delaware,New Castle,19720
California,Orange,92647
Texas,Cameron,78520
Florida,Broward,33065
Florida,Broward,33064
California,Santa Clara,95051
New York,New York,10032
California,Orange,92707
Idaho,Jerome,83301
Idaho,Twin Falls,83301
Tennessee,Rutherford,37167
Colorado,Weld,80634
California,Orange,92620
California,San Bernardino,91761
California,Riverside,92223
Florida,Osceola,34744
South Carolina,Charleston,29485
South Carolina,Dorchester,29485
New York,Bronx,10473
Ohio,Lake,44060
Ohio,Geauga,44060
Texas,Rockwall,75126
Texas,Kaufman,75126
Texas,Dallas,75126
California,San Diego,92020
Virginia,Chesapeake,23320
Virginia,Virginia Beach,23461
Virginia,Virginia Beach,23456
Texas,Williamson,78664
Texas,Travis,78664
California,San Francisco,94122
California,San Bernardino,92346
California,San Bernardino,92369
California,San Bernardino,92382
Arizona,Maricopa,85033
Texas,Bexar,78250
Washington,Snohomish,98208
North Carolina,Union,28173
North Carolina,Union,28108
New York,New York,10009
New York,Bronx,10460
Texas,Williamson,78665
Pennsylvania,Philadelphia,19149
Virginia,Loudoun,20148
California,San Diego,92071
California,San Luis Obispo,93458
California,Santa Barbara,93458
South Carolina,Berkeley,29445
South Carolina,Charleston,29445
California,Santa Clara,94087
California,San Bernardino,92507
California,Riverside,92521
California,Riverside,92507
Texas,Bexar,78253
Texas,Medina,78253
California,Los Angeles,91732
Arizona,Maricopa,85008
Arizona,Maricopa,85026
Hawaii,Honolulu,96853
Hawaii,Honolulu,96860
Hawaii,Honolulu,96820
Hawaii,Honolulu,96818
California,Los Angeles,91770
California,Sacramento,95670
California,Riverside,92570
California,Los Angeles,90042
Virginia,Prince William,22192
Virginia,Prince William,22125
Arizona,Maricopa,85345
Maryland,Baltimore,21222
California,Los Angeles,90004
California,Stanislaus,95355
Pennsylvania,Philadelphia,19134
Virginia,Stafford,22554
New York,Kings,11225
Texas,El Paso,79924
Wisconsin,Milwaukee,53215
Georgia,Henry,30253
Maryland,Baltimore,21117
Texas,Tarrant,76137
Tennessee,Rutherford,37129
Tennessee,Wilson,37129
Texas,Dallas,75149
Minnesota,Ramsey,55106
Georgia,Coweta,30263
Georgia,Coweta,30275
Georgia,Heard,30263
Minnesota,Dakota,55044
Minnesota,Scott,55044
Florida,Hillsborough,33511
Tennessee,Rutherford,37130
Tennessee,Rutherford,37132
Texas,Harris,77089
Texas,Galveston,77089
Texas,Bexar,78249
Texas,Fort Bend,77406
North Carolina,Durham,27703
North Carolina,Wake,27703
Illinois,Cook,60638
Ohio,Franklin,43230
Georgia,Cobb,30144
Virginia,Fairfax,22003
Louisiana,Livingston,70726
Michigan,Macomb,48044
California,Orange,92530
California,Riverside,92530
Missouri,Boone,65203
Georgia,Cobb,30066
Georgia,Fulton,30318
Georgia,Cobb,30318
Texas,Travis,78753
California,Riverside,92571
Texas,Cameron,78526
Colorado,Boulder,80504
Colorado,Weld,80504
Colorado,Larimer,80504
New York,Kings,11238
North Carolina,Union,28227
North Carolina,Mecklenburg,28227
Florida,Palm Beach,33414
Tennessee,Montgomery,37040
California,Santa Clara,95112
Texas,Harris,77070
California,San Diego,92057
Ohio,Fairfield,43068
Ohio,Licking,43068
Ohio,Franklin,43068
Texas,Dallas,75227
California,Napa,94591
California,Solano,94591
California,San Diego,91950
California,Los Angeles,90745
Arkansas,Washington,72764
Arkansas,Benton,72764
Texas,Harris,77015
California,Los Angeles,90052
California,Los Angeles,90001
North Carolina,Cumberland,28314
Montana,Flathead,59901
California,Riverside,92504
New York,New York,10128
Illinois,Cook,60453
California,Ventura,93030
Nevada,Clark,89052
Virginia,Virginia Beach,23454
Virginia,Virginia Beach,23460
California,San Bernardino,92324
California,Riverside,92324
Georgia,Newton,30070
Georgia,Rockdale,30016
Georgia,Newton,30016
Arizona,Pima,85706
Ohio,Lake,44077
Ohio,Lake,44045
Florida,Miami-Dade,33142
California,Kern,93312
Tennessee,Sumner,37066
Washington,Spokane,99208
New Mexico,Bernalillo,87111
Arizona,Maricopa,85338
Texas,Williamson,78681
Texas,Tarrant,76010
South Carolina,York,29732
South Carolina,York,29733
Indiana,Marion,46227
Indiana,Johnson,46143
Florida,Clay,32068
Texas,Fort Bend,77469
California,San Diego,92130
Florida,Miami-Dade,33177
Colorado,Adams,80022
California,Orange,92708
California,Los Angeles,90006
North Carolina,Guilford,27410
Minnesota,Olmsted,55901
Minnesota,Olmsted,55905
Alabama,Shelby,35242
Alabama,Jefferson,35242
Florida,Seminole,32771
California,Los Angeles,90744
Michigan,Wayne,48228
Georgia,Houston,31088
Texas,Dallas,75061
Georgia,Chatham,31419
Ohio,Pike,45601
Ohio,Ross,45601
Ohio,Jackson,45601
Illinois,Cook,60056
California,San Diego,92027
New Mexico,Bernalillo,87124
New Mexico,Sandoval,87124
Pennsylvania,Philadelphia,19020
Pennsylvania,Bucks,19020
Virginia,Virginia Beach,23452
Texas,Bexar,78240
Texas,Bexar,78228
New York,New York,10170
New York,New York,10168
New York,New York,10016
New York,New York,10174
New York,New York,10173
New York,New York,10110
New York,New York,10165
New York,New York,10169
New York,New York,10177
Texas,Maverick,78852
Texas,Maverick,78860
Oregon,Clackamas,97045
Ohio,Union,43015
Ohio,Delaware,43015
Ohio,Warren,45040
Missouri,St. Louis,63021
Oregon,Marion,97301
Georgia,Cherokee,30114
Pennsylvania,Westmoreland,15601
Pennsylvania,Westmoreland,15662
Pennsylvania,Westmoreland,15619
Pennsylvania,Westmoreland,15635
Pennsylvania,Westmoreland,15633
Oklahoma,Oklahoma,73013
Idaho,Ada,83709
Colorado,Adams,80024
Colorado,Adams,80229
Nevada,Clark,89147
Ohio,Franklin,43228
South Carolina,Lancaster,29730
South Carolina,Chester,29730
South Carolina,York,29730
California,Los Angeles,90813
California,Los Angeles,90831
Pennsylvania,Lancaster,17601
North Carolina,Davidson,27284
North Carolina,Guilford,27284
North Carolina,Forsyth,27284
North Carolina,Pitt,27879
North Carolina,Pitt,27858
California,San Bernardino,91764
North Carolina,Wake,27616
Florida,Duval,32246
California,Ventura,93063
Maryland,Prince George's,20744
Florida,Martin,33458
Florida,Palm Beach,33458
California,Santa Barbara,93436
Louisiana,Jefferson,70072
California,San Francisco,94109
Maryland,Anne Arundel,21061
California,Orange,92646
Michigan,Washtenaw,48103
Maryland,Montgomery,20904
Maryland,Prince George's,20904
California,Santa Clara,95023
California,San Benito,95023
Texas,Dallas,75115
North Carolina,Beaufort,27834
North Carolina,Pitt,27834
North Carolina,Edgecombe,27834
South Carolina,Dorchester,29483
South Carolina,Berkeley,29483
South Carolina,Charleston,29483
New York,Richmond,10306
Missouri,Greene,65807
North Carolina,Burke,28655
North Carolina,Burke,28641
North Carolina,Burke,28628
North Carolina,Caldwell,28655
North Carolina,McDowell,28655
California,Los Angeles,91405
Delaware,New Castle,19702
Arizona,Pima,85705
Georgia,Gwinnett,30518
Georgia,Hall,30518
Washington,Pierce,98391
North Carolina,Durham,27713
North Carolina,Wake,27713
North Carolina,Durham,27709
North Carolina,Chatham,27713
Illinois,Cook,60630
New York,Orange,12550
Georgia,Cobb,30075
Georgia,Fulton,30075
Georgia,Cherokee,30075
California,Kern,93215
California,Tulare,93215
Ohio,Franklin,43229
Ohio,Muskingum,43701
California,San Bernardino,91786
Florida,Duval,32225
Georgia,Hall,30519
Georgia,Gwinnett,30519
Mississippi,Harrison,39503
California,San Joaquin,95376
Florida,Miami-Dade,33196
North Carolina,Cabarrus,28025
Hawaii,Honolulu,96789
Minnesota,Dakota,55124
California,San Diego,92117
Tennessee,Shelby,38017
Florida,Miami-Dade,33125
Tennessee,Fayette,38017
Mississippi,DeSoto,38654
Mississippi,Marshall,38654
Texas,Dallas,75216
California,Stanislaus,95350
Ohio,Union,43302
Ohio,Crawford,43302
Ohio,Marion,43302
Colorado,Weld,80631
Colorado,Weld,80646
Florida,Miami-Dade,33018
California,San Bernardino,92399
California,Riverside,92399
Colorado,Larimer,80525
Utah,Davis,84041
California,Santa Barbara,93117
California,Los Angeles,90066
Florida,Broward,33063
North Carolina,Wake,27526
North Carolina,Harnett,27526
California,Kern,93287
California,Kern,93308
California,Los Angeles,91745
California,Orange,92780
California,Riverside,92584
New York,Erie,14221
Pennsylvania,Philadelphia,19140
District of Columbia,District of Columbia,20020
California,Los Angeles,93551
Florida,Palm Beach,33467
Nevada,Clark,89129
Arizona,Pinal,85122
Ohio,Hamilton,45140
Ohio,Warren,45140
Ohio,Clermont,45140
Nevada,Clark,89117
Illinois,Cook,60622
California,Tulare,93277
California,Tulare,93227
Pennsylvania,Chester,19358
Pennsylvania,Chester,19320
Virginia,Henrico,23223
Virginia,Richmond,23223
Ohio,Hancock,45840
Texas,Harris,77088
Florida,Seminole,32703
Florida,Orange,32703
Florida,Miami-Dade,33032
Hawaii,Honolulu,96744
Arizona,Maricopa,85035
Ohio,Butler,45069
Ohio,Hamilton,45069
Texas,Cameron,78550
California,Los Angeles,91344
Virginia,Chesterfield,23112
Virginia,Powhatan,23112
Texas,Collin,75007
Texas,Dallas,75007
Texas,Denton,75007
New York,New York,10003
Texas,Collin,75072
Texas,Collin,75070
Texas,Wilson,78223
Texas,Bexar,78223
Texas,Brazoria,77546
Texas,Harris,77546
Texas,Galveston,77546
California,Los Angeles,91406
California,Los Angeles,90002
California,Orange,92618
Kentucky,Boone,41042
Kentucky,Kenton,41042
Ohio,Butler,45044
Ohio,Warren,45044
Oregon,Multnomah,97124
Oregon,Washington,97124
California,Los Angeles,91304
California,Ventura,91304
Illinois,McLean,61761
Florida,Miami-Dade,33161
California,Riverside,92557
New York,Monroe,14580
New York,Wayne,14580
Texas,Tarrant,76133
Hawaii,Honolulu,96817
New Mexico,Bernalillo,87105
Florida,Hillsborough,33578
New York,Nassau,11758
New York,Suffolk,11758
California,Santa Clara,95122
Pennsylvania,York,17331
Pennsylvania,Adams,17331
North Carolina,Wake,27603
North Carolina,Johnston,27603
California,Placer,95648
California,San Diego,92056
California,Los Angeles,91801
Idaho,Canyon,83686
California,Los Angeles,90723
Utah,Tooele,84074
Florida,Broward,33312
Nevada,Clark,89030
California,Alameda,94539
Texas,Harris,77044
California,San Diego,92129
New York,Rensselaer,12180
Washington,King,98115
California,San Diego,91913
California,Orange,92840
Michigan,Wayne,48126
Tennessee,Hamilton,37421
North Carolina,Union,28110
California,Ventura,93003
Texas,Travis,78748
Texas,Harris,77388
California,Santa Clara,95125
Maryland,Montgomery,20902
Ohio,Hamilton,45013
Ohio,Butler,45013
Virginia,Arlington,22204
Virginia,Hampton,23666
Arizona,Maricopa,85201
New York,Queens,11354
California,Los Angeles,90034
Illinois,Cook,60613
Georgia,Cobb,30080
California,San Diego,92078
California,San Diego,92096
Illinois,Cook,60411
Colorado,Adams,80020
Colorado,Jefferson,80020
Colorado,Boulder,80020
Colorado,Broomfield,80020
Florida,Miami-Dade,33165
California,Orange,92833
Georgia,Murray,30721
Georgia,Whitfield,30721
California,Orange,92656
Maryland,Prince George's,20772
Texas,Coryell,76549
Texas,Bell,76549
Texas,Burnet,76549
California,Orange,92870
Illinois,Cook,60616
Illinois,DuPage,60148
Florida,Orange,32824
Florida,Osceola,34741
California,Los Angeles,90063
California,Alameda,94601
Texas,Fort Bend,77498
Florida,Miami-Dade,33176
Texas,Collin,75025
Pennsylvania,Bucks,19067
Washington,King,98034
Hawaii,Honolulu,96792
Texas,Harris,77082
Texas,Fort Bend,77082
California,Riverside,92505
Michigan,Genesee,48439
Michigan,Oakland,48439
California,Solano,95616
California,Yolo,95616
Florida,Orange,32839
New York,Bronx,10461
Washington,Snohomish,98270
North Carolina,Guilford,27407
Oregon,Lane,97402
Oregon,Clackamas,97206
Oregon,Multnomah,97206
California,Los Angeles,91605
Alabama,Montgomery,36117
Alabama,Montgomery,36057
Hawaii,Honolulu,96734
Hawaii,Honolulu,96863
Maryland,Baltimore,21215
Florida,Broward,33068
Pennsylvania,Delaware,19382
Pennsylvania,Chester,19383
Pennsylvania,Chester,19382
Utah,Utah,84003
Utah,Wasatch,84003
California,Santa Clara,95124
Alabama,Mobile,36695
North Carolina,Caldwell,28601
North Carolina,Burke,28601
North Carolina,Alexander,28601
North Carolina,Catawba,28601
Texas,Dallas,75080
Texas,Collin,75080
Arizona,Pima,85710
California,Riverside,92544
Utah,Salt Lake,84120
Illinois,Cook,60004
California,Santa Clara,95037
Virginia,James City,23081
Virginia,Williamsburg,23185
Virginia,James City,23185
Virginia,Charles City,23185
Virginia,York,23185
North Carolina,Johnston,27529
North Carolina,Wake,27529
Michigan,Wayne,48187
Kentucky,Hardin,42701
Colorado,Arapahoe,80011
Colorado,Adams,80011
California,Santa Clara,95116
Washington,King,98103
South Carolina,Horry,29588
California,San Joaquin,95207
Pennsylvania,Philadelphia,19104
California,Sacramento,95757
Arizona,Maricopa,85282
Arizona,Maricopa,85037
Georgia,DeKalb,30093
Georgia,Gwinnett,30093
Washington,Pierce,98387
Pennsylvania,Lehigh,18102
Missouri,St. Charles,63366
Georgia,Columbia,30809
Nevada,Clark,89103
California,San Diego,92026
Florida,Orange,32792
Florida,Seminole,32792
Maryland,Baltimore,21207
Florida,Palm Beach,33415
South Carolina,Charleston,29464
South Carolina,Berkeley,29464
New York,New York,10011
Tennessee,Carroll,38305
Tennessee,Madison,38305
Texas,Collin,75287
Texas,Denton,75287
Texas,Dallas,75287
Texas,Dallas,75062
Washington,Benton,99336
California,Riverside,92234
New York,Queens,11420
Texas,Collin,75074
Arizona,Maricopa,85295
Washington,King,98023
